user_id,date,session_id,session_start_time,session_end_time,session_duration_min,ip,location,login_success,login_fail,logout,after_hours_login,weekend_login,device_link,device_unlink,ip_change,location_change,file_upload,file_download,file_delete,file_export,file_permanently_delete,file_move,file_copy,bulk_operation,shared_link_create,shared_link_download,external_share,share_permission_change,shared_folder_create,mass_sharing,password_change,tfa_disable,tfa_add,security_setting_change,audit_log_access,role_change,permission_escalation,policy_change,user_role
user01,01/01/25,session_0000,13:59:00,14:53:00,54,10.9.88.129,chennai,1,0,1,0,0,0,0,0,0,15,20,4,1,0,9,7,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,intern
user01,01/01/25,session_0001,8:32:00,9:34:00,62,10.207.15.90,chennai,1,1,1,0,0,0,0,1,0,4,22,2,7,0,2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,intern
user01,01/01/25,session_0002,12:27:00,13:47:00,80,10.190.225.129,chennai,1,0,1,0,0,0,0,0,0,12,9,5,8,0,8,2,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,intern
user01,01/01/25,session_0003,14:40:00,16:47:00,127,10.87.229.224,chennai,1,0,1,0,0,0,0,0,0,16,71,1,7,0,8,9,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,intern
user01,01/01/25,session_0004,17:47:00,20:25:00,158,10.168.128.39,chennai,1,0,1,0,0,0,0,0,0,8,0,3,5,1,2,4,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,intern
user01,01/01/25,session_0005,11:31:00,11:54:00,23,10.217.99.153,chennai,1,0,1,0,0,0,0,1,0,2,8,2,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,intern
user02,01/01/25,session_0006,13:21:00,16:13:00,172,10.147.4.35,hyd,1,0,1,0,0,1,0,0,0,5,5,4,2,0,2,2,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,intern
user02,01/01/25,session_0007,9:17:00,9:56:00,39,10.246.176.39,hyd,1,0,1,0,0,0,0,0,0,2,9,7,7,0,1,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,intern
user04,01/01/25,session_0008,12:48:00,14:12:00,84,10.55.168.52,chennai,1,0,1,0,0,0,0,1,0,10,14,3,4,0,3,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,intern
user04,01/01/25,session_0009,16:00:00,16:48:00,48,10.154.144.179,chennai,1,0,1,0,0,0,0,0,0,15,29,0,7,0,4,3,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,intern
user04,01/01/25,session_0010,13:57:00,14:21:00,24,10.220.128.160,chennai,1,0,1,0,0,0,0,0,0,4,21,3,1,1,2,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,intern
user05,01/01/25,session_0011,14:28:00,17:16:00,168,10.101.201.152,bangalore,1,0,1,0,0,0,0,0,0,1,9,2,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,intern
user06,01/01/25,session_0012,15:18:00,16:48:00,90,10.109.181.42,blr,1,0,1,0,0,0,0,0,0,6,8,3,3,1,4,2,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,intern
user06,01/01/25,session_0013,12:18:00,14:48:00,150,10.182.167.91,blr,1,0,1,0,0,0,0,0,0,12,38,0,12,0,5,4,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,intern
user07,01/01/25,session_0014,11:15:00,13:27:00,132,10.3.144.215,blr,1,0,1,0,0,1,0,1,0,10,20,3,4,0,5,4,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,intern
user07,01/01/25,session_0015,17:53:00,20:32:00,159,10.10.56.30,blr,1,0,1,0,0,0,0,0,0,0,8,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,intern
user07,01/01/25,session_0016,8:40:00,10:33:00,113,10.201.110.1,blr,1,0,1,0,0,0,0,0,0,15,0,6,5,1,9,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,intern
user08,01/01/25,session_0017,13:14:00,14:53:00,99,10.249.166.225,blr,1,0,1,0,0,0,0,0,0,1,13,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,intern
user08,01/01/25,session_0018,17:42:00,19:51:00,129,10.51.147.21,blr,1,0,1,0,0,0,0,0,0,15,14,6,5,0,5,3,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,intern
user08,01/01/25,session_0019,15:21:00,16:31:00,70,10.215.78.216,blr,1,0,1,0,0,0,0,0,0,10,29,6,0,0,3,4,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,intern
user08,01/01/25,session_0020,13:36:00,14:18:00,42,10.109.146.111,blr,1,0,1,0,0,0,0,0,0,6,9,0,0,0,3,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,intern
user08,01/01/25,session_0021,11:05:00,12:29:00,84,10.4.79.134,bangalore,1,0,1,0,0,0,0,0,1,15,22,3,7,0,10,7,0,15,2,0,1,0,0,0,0,0,0,0,0,0,0,intern
user09,01/01/25,session_0022,17:35:00,19:06:00,91,10.17.9.203,chennai,1,1,1,0,0,0,0,0,0,2,10,0,5,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,intern
user09,01/01/25,session_0023,19:07:00,19:32:00,25,10.14.32.179,chennai,1,0,1,0,0,0,0,0,0,4,8,5,2,1,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,intern
user10,01/01/25,session_0024,13:26:00,16:24:00,178,10.118.38.141,hyd,1,0,1,0,0,0,0,1,0,5,28,0,0,0,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,intern
user10,01/01/25,session_0025,11:19:00,11:44:00,25,10.104.60.171,hyd,1,0,1,0,0,0,0,0,0,9,29,7,5,0,6,4,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,intern
user10,01/01/25,session_0026,11:25:00,13:29:00,124,10.25.90.75,hyd,1,0,1,0,0,0,0,0,0,0,3,6,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,intern
user10,01/01/25,session_0027,17:21:00,20:09:00,168,10.215.179.123,hyd,1,0,1,0,0,0,0,0,0,17,27,4,0,1,10,5,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,intern
user11,01/01/25,session_0028,14:28:00,15:37:00,69,10.216.215.187,chennai,1,0,1,0,0,0,0,0,0,2,6,7,9,1,1,1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,intern
user12,01/01/25,session_0029,22:29:00,10:28:00,162,10.250.86.108,chennai,1,0,1,1,0,0,0,1,0,9,10,6,1,0,6,4,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,intern
user12,01/01/25,session_0030,12:21:00,12:39:00,18,10.76.87.117,chennai,1,0,1,0,0,0,0,1,0,12,25,1,6,0,8,5,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,intern
user12,01/01/25,session_0031,8:59:00,10:07:00,68,10.111.152.246,chennai,1,0,1,0,0,0,0,1,0,0,10,2,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,intern
user12,01/01/25,session_0032,7:24:00,8:39:00,75,10.251.49.189,chennai,1,0,1,0,0,0,0,0,0,7,10,1,8,0,2,4,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,intern
user12,01/01/25,session_0033,13:16:00,16:01:00,165,10.103.17.14,chennai,1,0,1,0,0,0,0,0,0,6,25,5,4,1,2,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,intern
user13,01/01/25,session_0034,16:33:00,19:25:00,172,10.184.236.239,delhi,1,0,1,0,0,0,0,0,0,12,26,4,1,0,6,5,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,intern
user13,01/01/25,session_0035,15:14:00,16:17:00,63,10.54.117.243,delhi,1,1,1,0,0,0,0,0,0,3,24,3,9,3,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,intern
